ลำดับ,หมวด,คำถาม
1,ความรู้พื้นฐาน,"โซล่าเซลล์ หรือ Solar Cell มีหน้าที่หลักในการเปลี่ยนพลังงานรูปแบบใดให้เป็นพลังงานไฟฟ้า?"
2,ความรู้พื้นฐาน,"คำว่า PV (Photovoltaic) หมายถึงอะไร?"
3,ความรู้พื้นฐาน,"ไฟฟ้าที่ผลิตได้โดยตรงจากแผงโซล่าเซลล์เป็นไฟฟ้ากระแส AC หรือ DC?"
4,ความรู้พื้นฐาน,"ไฟฟ้า AC และ DC แตกต่างกันอย่างไร?"
5,ความรู้พื้นฐาน,"เพราะเหตุใดการนำไฟฟ้าจากแผงโซล่าเซลล์ไปใช้งานกับเครื่องใช้ไฟฟ้า AC จึงต้องมี Inverter?"
6,ความรู้พื้นฐาน,"Inverter มีหน้าที่อะไรในระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์?"
7,รูปแบบระบบโซล่าเซลล์,"ระบบผลิตไฟฟ้าด้วยโซล่าเซลล์แบ่งออกเป็น 3 ประเภทหลักอะไรบ้าง?"
8,รูปแบบระบบโซล่าเซลล์,"Off Grid หรือ Stand Alone คือระบบแบบใด?"
9,รูปแบบระบบโซล่าเซลล์,"ระบบ Off Grid เหมาะกับสถานที่หรือลักษณะการใช้งานแบบใด?"
10,รูปแบบระบบโซล่าเซลล์,"หากระบบ Off Grid ไม่มีแบตเตอรี่ ระบบดังกล่าวสามารถผลิตไฟฟ้าเพื่อใช้งานในช่วงเวลาใด?"
11,รูปแบบระบบโซล่าเซลล์,"หากนำไฟฟ้า DC จากแผงโซล่าเซลล์ไปใช้งานกับอุปกรณ์ DC โดยตรง มีข้อดีอย่างไร?"
12,รูปแบบระบบโซล่าเซลล์,"การใช้แบตเตอรี่ในระบบ Off Grid มีประโยชน์อย่างไร?"
13,รูปแบบระบบโซล่าเซลล์,"On Grid หรือ Grid Connected แตกต่างจาก Off Grid อย่างไร?"
14,รูปแบบระบบโซล่าเซลล์,"ระบบ On Grid สามารถนำไฟฟ้าจากการไฟฟ้ามาช่วยในกรณีที่ไฟฟ้าจากโซล่าเซลล์ไม่เพียงพอได้อย่างไร?"
15,รูปแบบระบบโซล่าเซลล์,"เพราะเหตุใดระบบ On Grid จึงไม่สามารถผลิตไฟฟ้าจากแสงอาทิตย์ได้ในเวลากลางคืน?"
16,รูปแบบระบบโซล่าเซลล์,"ระบบ Hybrid มีลักษณะอย่างไร และเป็นการนำระบบใดมารวมกัน?"
17,รูปแบบระบบโซล่าเซลล์,"ในระบบ Hybrid แบตเตอรี่มีหน้าที่สำคัญอย่างไร?"
18,รูปแบบระบบโซล่าเซลล์,"หากในเวลากลางวันระบบ Hybrid ผลิตไฟฟ้าได้มากกว่าที่เครื่องใช้ไฟฟ้าต้องการ ระบบสามารถนำไฟฟ้าส่วนเกินไปทำอะไร?"
19,รูปแบบระบบโซล่าเซลล์,"ในเวลากลางคืน ระบบ Hybrid สามารถเลือกนำพลังงานจากแหล่งใดมาใช้งานได้บ้าง?"
20,รูปแบบระบบโซล่าเซลล์,"จงเปรียบเทียบข้อดีและข้อจำกัดของระบบ Off Grid, On Grid และ Hybrid"
21,การวิเคราะห์และประยุกต์ใช้,"หากต้องการติดตั้งโซล่าเซลล์ในพื้นที่ที่ไม่มีสายไฟจากการไฟฟ้าเข้าถึง นักเรียนคิดว่าควรเลือกระบบใด เพราะเหตุใด?"
22,การวิเคราะห์และประยุกต์ใช้,"บ้านพักอาศัยที่ต้องการติดตั้งโซล่าเซลล์เพื่อลดค่าไฟฟ้า แต่ยังต้องการใช้ไฟจากการไฟฟ้าในช่วงที่ผลิตไฟฟ้าไม่เพียงพอ ควรเลือกระบบใด?"
23,การวิเคราะห์และประยุกต์ใช้,"หากเจ้าของบ้านต้องการมีไฟฟ้าสำรองไว้ใช้ในเวลากลางคืนหรือช่วงไฟฟ้าดับ ระบบใดมีความเหมาะสมมากกว่า On Grid ทั่วไป เพราะเหตุใด?"
24,การวิเคราะห์และประยุกต์ใช้,"ถ้าแผงโซล่าเซลล์ผลิตไฟฟ้าเป็น DC แต่เครื่องปรับอากาศภายในบ้านใช้ไฟ AC นักเรียนจะออกแบบการเชื่อมต่ออย่างไร?"
25,การวิเคราะห์และประยุกต์ใช้,"สมมติว่าในเวลากลางวันแผงโซล่าเซลล์ผลิตไฟฟ้าได้ 5 หน่วย แต่บ้านใช้ไฟเพียง 3 หน่วย นักเรียนคิดว่าพลังงานที่เหลือ 2 หน่วยสามารถนำไปใช้ประโยชน์อย่างไรในระบบที่มีแบตเตอรี่?"
26,การวิเคราะห์และประยุกต์ใช้,"หากเป็นวันที่ไม่มีแสงแดดและระบบไม่มีแบตเตอรี่ ระบบโซล่าเซลล์จะมีข้อจำกัดอย่างไร?"
27,การวิเคราะห์และประยุกต์ใช้,"เพราะเหตุใดการใช้อุปกรณ์ไฟฟ้า DC โดยตรงจากระบบโซล่าเซลล์จึงอาจช่วยลดการสูญเสียพลังงานได้?"
28,การวิเคราะห์และประยุกต์ใช้,"หากนักเรียนต้องเลือกติดตั้งระบบโซล่าเซลล์สำหรับบ้านของตนเอง นักเรียนจะเลือกระบบใด และมีเหตุผลในการเลือกอย่างไร?"
29,การวิเคราะห์และประยุกต์ใช้,"จงวาดแผนภาพแสดงการไหลของพลังงานในระบบ On Grid ตั้งแต่แสงอาทิตย์ → แผงโซล่าเซลล์ → Inverter → เครื่องใช้ไฟฟ้า"
