instruction_org,instruction,answer,__index_level_0__,BM25_score,BM25_index,DENSE_score,DENSE_index,RRF_score,RRF_index
สตูดิโออัลบั้มแรกของโอเอซิสคืออัลบั้มใด,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2106,12.890774621112705,3654,0.8591909408569336,2103,0.031024531024531024,2110
นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,449,88.17809353176388,449,0.9391316175460815,449,0.03252247488101534,449
ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,3284,26.308126225079736,2291,0.8861870169639587,2291,0.03252247488101534,2291
ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภาษาซองคาเป็นภาษาประจำชาติของประเทศอะไร?,ภูฏาน,1309,37.377888555468026,1775,0.9130370020866394,1775,0.03278688524590164,1775
ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,"ใครคือผู้แต่งเรื่อง ""ลิลิตพระลอ""",สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์,3677,27.480812078571564,3677,0.9239597320556641,3677,0.03278688524590164,3677
44 21 4 เกม ผลิตโดยใคร,44 21 4 คือจำนวนเกมที่ผลิตโดยใคร?,บริษัท ซีวีดีอี โปรดักชั่น จำกัด,3954,52.22576265327699,3954,0.8979751467704773,3954,0.03278688524590164,3954
102 ปิดกรุงเทพฯปล้น เป็นภาพยนตร์แนวอะไร,"102: ภูมิภาค กรุ๊ป ภาระ, สืบสวน, และ ผูกพัน.",แอ็คชั่น,1527,50.54226007443311,9248,0.8624287843704224,5769,0.020001515266308053,5307
The State Representative ของ  New York คือใคร,ใครคือนายวุฒิสมาชิกของนิวยอร์ก?,อเล็กซานเดรีย โอคาซีโอ-คอร์เทซ,4001,16.716486358095324,240,0.838320255279541,4258,0.03131881575727918,240
ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,ตำบลนาวง ตั้งอยู่ในจังหวัดไหน?,จังหวัดตรัง,507,30.07965432921959,507,0.9111080169677734,507,0.03278688524590164,507
ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,ไนจีเรียถูกแต่งตั้งให้เป็นสมาชิกของสหประชาชาติในปี พ.ศ. 2514.,1960-10-07,6958,32.192030026103815,6958,0.887885570526123,6958,0.03278688524590164,6958
เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่เก็บ养分และต้านทานโรคภัยจากฝูงสัตว์ที่อาจทำลายพืช,สะสมอาหาร,12911,62.89326023432762,12911,0.9257084131240845,12911,0.03278688524590164,12911
ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,"ภาพยนตร์เรื่อง ""องค์บาก"" 2 ออกอากาศในประเทศไทยตามกำหนด วันที่ 5 ธันวาคม พ.ศ. 2551 สร้างรายได้รวมเท่าไหร่?",102.29 ล้านบาท,892,86.26675533583038,892,0.9401317834854126,892,0.03278688524590164,892
อุทยานแห่งชาติแก่งกรุงของไทยตั้งอยู่ในจังหวัดใด,อุทยานแห่งชาติแก่งกรุงของประเทศไทยตั้งอยู่ในจังหวัดอ่างทอง,สุราษฎร์ธานี,762,37.059170777073,762,0.8878160715103149,760,0.032266458495966696,597
ปัจจุบันตั้งแสดงอยู่ที่ใด ?,ฉันยังไม่สามารถแสดงสถานะหรือตำแหน่งของคุณได้ในขณะนี้。,พิพิธภัณฑ์ออร์แซในกรุงปารีสในประเทศฝรั่งเศส,950,23.49178757848602,784,0.8731768131256104,784,0.03278688524590164,784
ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,ภาพยนต์เรื่องแรกของโลกคือเรื่องอะไร?,Arrival of a Train at La Ciotat,3377,36.43327557994126,3377,0.9257084131240845,3377,0.03278688524590164,3377
