query_id,query,query_answer,rank,engine,document_id,dataset_index,source,score,score_type,document_preview
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,1,FAISS,doc-00096,96,xquad,0.3938879370689392,similarity,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2,FAISS,doc-00095,95,xquad,0.3938879370689392,similarity,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,3,FAISS,doc-00094,94,xquad,0.3938879370689392,similarity,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,4,FAISS,doc-00093,93,xquad,0.3938879370689392,similarity,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,5,FAISS,doc-00092,92,xquad,0.3938879370689392,similarity,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,1,ChromaDB,doc-00092,92,xquad,0.6061121821403503,distance,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2,ChromaDB,doc-00093,93,xquad,0.6061121821403503,distance,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,3,ChromaDB,doc-00094,94,xquad,0.6061121821403503,distance,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,4,ChromaDB,doc-00095,95,xquad,0.6061121821403503,distance,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,5,ChromaDB,doc-00096,96,xquad,0.6061121821403503,distance,ตลาดหลักทรัพย์แห่งแรกของวอร์ซอว์ก่อตั้งขึ้นในปี 1817 โดยทำการซื้อขายหลักทรัพย์เรื่อยมาจนถึง สงครามโลกครั้งที่สอง และได้รับการก่อตั้งขึ้นใหม่ใน เดือนเมษายน ปี 19
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,1,FAISS,doc-00097,97,xquad,0.30436408519744873,similarity,ก่อนการมาถึงของ รอลโล ประชากรของที่นี่ถือว่าเป็นชาว  “แฟรงก์” ไม่ต่างจากที่ปิคาร์ดีหรือว่าอิล-เดอ-ฟร็องซ์ เลย  ชาวไวกิงผู้เข้ามาตั้งถิ่นฐานในยุคแรก ๆ เริ่มเข้าม
