instruction_org,instruction,answer,__index_level_0__
สตูดิโออัลบั้มแรกของโอเอซิสคืออัลบั้มใด,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2106
นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,449
ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,3284
ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภาษาซองคาเป็นภาษาประจำชาติของประเทศอะไร?,ภูฏาน,1309
ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,"ใครคือผู้แต่งเรื่อง ""ลิลิตพระลอ""",สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์,3677
44 21 4 เกม ผลิตโดยใคร,44 21 4 คือจำนวนเกมที่ผลิตโดยใคร?,บริษัท ซีวีดีอี โปรดักชั่น จำกัด,3954
102 ปิดกรุงเทพฯปล้น เป็นภาพยนตร์แนวอะไร,"102: ภูมิภาค กรุ๊ป ภาระ, สืบสวน, และ ผูกพัน.",แอ็คชั่น,1527
The State Representative ของ  New York คือใคร,ใครคือนายวุฒิสมาชิกของนิวยอร์ก?,อเล็กซานเดรีย โอคาซีโอ-คอร์เทซ,4001
ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,ตำบลนาวง ตั้งอยู่ในจังหวัดไหน?,จังหวัดตรัง,507
ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,ไนจีเรียถูกแต่งตั้งให้เป็นสมาชิกของสหประชาชาติในปี พ.ศ. 2514.,1960-10-07,6958
เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่เก็บ养分และต้านทานโรคภัยจากฝูงสัตว์ที่อาจทำลายพืช,สะสมอาหาร,12911
ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,"ภาพยนตร์เรื่อง ""องค์บาก"" 2 ออกอากาศในประเทศไทยตามกำหนด วันที่ 5 ธันวาคม พ.ศ. 2551 สร้างรายได้รวมเท่าไหร่?",102.29 ล้านบาท,892
อุทยานแห่งชาติแก่งกรุงของไทยตั้งอยู่ในจังหวัดใด,อุทยานแห่งชาติแก่งกรุงของประเทศไทยตั้งอยู่ในจังหวัดอ่างทอง,สุราษฎร์ธานี,762
ปัจจุบันตั้งแสดงอยู่ที่ใด ?,ฉันยังไม่สามารถแสดงสถานะหรือตำแหน่งของคุณได้ในขณะนี้。,พิพิธภัณฑ์ออร์แซในกรุงปารีสในประเทศฝรั่งเศส,950
ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,ภาพยนต์เรื่องแรกของโลกคือเรื่องอะไร?,Arrival of a Train at La Ciotat,3377
