instruction_org,instruction,answer,__index_level_0__,GT_corpus_idx,GT_index,BM25_score,BM25_index,BM25_GT_rank,BM25_correct,DENSE_score,DENSE_index,DENSE_GT_rank,DENSE_correct,RRF_score,RRF_index,RRF_GT_rank,RRF_correct
สตูดิโออัลบั้มแรกของโอเอซิสคืออัลบั้มใด,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2106,7296,2106,12.890167544681233,3654,31,False,0.8591909408569336,2103,2,False,0.031024531024531024,2110,4,False
นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,449,1639,449,88.17372960529602,449,1,True,0.9391316175460815,449,1,True,0.03278688524590164,449,1,True
ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,3284,18024,3284,26.307343900058434,2291,2,False,0.8861870169639587,3284,1,True,0.03252247488101534,2291,2,False
ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภาษาซองคาเป็นภาษาประจำชาติของประเทศอะไร?,ภูฏาน,1309,16049,1309,37.37652594843444,1309,1,True,0.9130370020866394,1775,2,False,0.03252247488101534,1775,2,False
ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,"ใครคือผู้แต่งเรื่อง ""ลิลิตพระลอ""",สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์,3677,14628,3677,27.479810268429954,3677,1,True,0.9239597320556641,3677,1,True,0.03278688524590164,3677,1,True
44 21 4 เกม ผลิตโดยใคร,44 21 4 คือจำนวนเกมที่ผลิตโดยใคร?,บริษัท ซีวีดีอี โปรดักชั่น จำกัด,3954,9144,3954,52.223764425619294,3954,1,True,0.8979751467704773,3954,1,True,0.03278688524590164,3954,1,True
102 ปิดกรุงเทพฯปล้น เป็นภาพยนตร์แนวอะไร,"102: ภูมิภาค กรุ๊ป ภาระ, สืบสวน, และ ผูกพัน.",แอ็คชั่น,1527,6717,1527,50.54068377172684,9248,78,False,0.8624287843704224,5769,795,False,0.020001515266308053,5307,127,False
The State Representative ของ  New York คือใคร,ใครคือนายวุฒิสมาชิกของนิวยอร์ก?,อเล็กซานเดรีย โอคาซีโอ-คอร์เทซ,4001,35741,4001,16.715989259767824,240,1530,False,0.838320255279541,4258,2,False,0.03131881575727918,240,21,False
ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,ตำบลนาวง ตั้งอยู่ในจังหวัดไหน?,จังหวัดตรัง,507,5697,507,30.078557803786,507,1,True,0.9111080169677734,507,1,True,0.03278688524590164,507,1,True
ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,ไนจีเรียถูกแต่งตั้งให้เป็นสมาชิกของสหประชาชาติในปี พ.ศ. 2514.,1960-10-07,6958,38698,6958,32.19119572671223,6958,1,True,0.887885570526123,6958,1,True,0.03278688524590164,6958,1,True
เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่เก็บ养分และต้านทานโรคภัยจากฝูงสัตว์ที่อาจทำลายพืช,สะสมอาหาร,12911,27651,12911,62.890343907922556,12911,1,True,0.9257084131240845,12911,1,True,0.03278688524590164,12911,1,True
ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,"ภาพยนตร์เรื่อง ""องค์บาก"" 2 ออกอากาศในประเทศไทยตามกำหนด วันที่ 5 ธันวาคม พ.ศ. 2551 สร้างรายได้รวมเท่าไหร่?",102.29 ล้านบาท,892,2082,892,86.26248479759643,682,2,False,0.9401317834854126,892,1,True,0.03252247488101534,682,2,False
อุทยานแห่งชาติแก่งกรุงของไทยตั้งอยู่ในจังหวัดใด,อุทยานแห่งชาติแก่งกรุงของประเทศไทยตั้งอยู่ในจังหวัดอ่างทอง,สุราษฎร์ธานี,762,1952,762,37.0577097702176,3670,2,False,0.8878160715103149,597,3,False,0.032266458495966696,597,3,False
ปัจจุบันตั้งแสดงอยู่ที่ใด ?,ฉันยังไม่สามารถแสดงสถานะหรือตำแหน่งของคุณได้ในขณะนี้。,พิพิธภัณฑ์ออร์แซในกรุงปารีสในประเทศฝรั่งเศส,950,6140,950,23.49062925242009,784,1168,False,0.8731768131256104,784,8,False,0.03278688524590164,784,26,False
ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,ภาพยนต์เรื่องแรกของโลกคือเรื่องอะไร?,Arrival of a Train at La Ciotat,3377,14328,3377,36.431767761133095,3377,1,True,0.9257084131240845,3377,1,True,0.03278688524590164,3377,1,True
