engine,query_number,repeat,latency_ms
FAISS,0,0,1.7242210014956072
ChromaDB,0,0,1.707811001324444
FAISS,0,1,1.600231000338681
ChromaDB,0,1,1.2466839998523938
FAISS,0,2,1.496058001066558
ChromaDB,0,2,1.207401999636204
FAISS,0,3,1.4993340009823442
ChromaDB,0,3,1.2226600010762922
FAISS,0,4,1.498823001384153
ChromaDB,0,4,1.2864390009781346
FAISS,0,5,1.5077200005180202
ChromaDB,0,5,1.3007550005568191
FAISS,0,6,1.5210239998850739
ChromaDB,0,6,1.337863999651745
FAISS,0,7,1.5280869993148372
ChromaDB,0,7,1.297008000619826
FAISS,0,8,1.5644939994672313
ChromaDB,0,8,1.2768910000886535
FAISS,0,9,1.523287999589229
ChromaDB,0,9,1.32474999918486
FAISS,1,0,1.577579001605045
ChromaDB,1,0,1.4140149996819673
FAISS,1,1,1.5831589989829808
ChromaDB,1,1,1.3250200008769752
FAISS,1,2,1.5724690001661656
ChromaDB,1,2,1.348803998553194
FAISS,1,3,1.553223999508191
ChromaDB,1,3,1.2736440003209282
FAISS,1,4,1.5502879996347474
ChromaDB,1,4,1.2405030010995688
FAISS,1,5,1.61325599947304
ChromaDB,1,5,1.384189999953378
FAISS,1,6,1.610469998922781
ChromaDB,1,6,1.264327000171761
FAISS,1,7,1.5477029992325697
ChromaDB,1,7,1.257174000784289
FAISS,1,8,1.5516709991061362
ChromaDB,1,8,1.2578349997056648
FAISS,1,9,1.5390170010505244
ChromaDB,1,9,1.894486998935463
FAISS,2,0,1.695828999800142
ChromaDB,2,0,1.3992980002512923
FAISS,2,1,1.5564900004392257
ChromaDB,2,1,1.3271039988467237
FAISS,2,2,1.5755349995743018
ChromaDB,2,2,1.266331000806531
FAISS,2,3,1.5518109994445695
ChromaDB,2,3,1.2343020007392624
FAISS,2,4,1.5680209999118233
ChromaDB,2,4,1.2148449986852938
FAISS,2,5,1.5449379989149747
ChromaDB,2,5,1.2224199999764096
FAISS,2,6,1.5455699995072791
ChromaDB,2,6,1.462826001443318
FAISS,2,7,1.6115819998958614
ChromaDB,2,7,1.4520460008498048
FAISS,2,8,1.5576619989587925
ChromaDB,2,8,1.454860999729135
FAISS,2,9,1.5233379999699537
ChromaDB,2,9,1.2894740011688555
FAISS,3,0,1.521725000202423
ChromaDB,3,0,1.5829280000616563
FAISS,3,1,1.7323060001217527
ChromaDB,3,1,1.5799530010554008
FAISS,3,2,1.6604829997959314
ChromaDB,3,2,1.5353500002674991
FAISS,3,3,1.5321249993576203
ChromaDB,3,3,1.432409999324591
FAISS,3,4,1.4678950010420522
ChromaDB,3,4,1.528528000562801
FAISS,3,5,1.5395179998449748
ChromaDB,3,5,1.3164440006221412
FAISS,3,6,1.4999249997345032
ChromaDB,3,6,1.2656599992624251
FAISS,3,7,1.518690000011702
ChromaDB,3,7,1.2625539984583156
FAISS,3,8,1.5227969997795299
ChromaDB,3,8,1.2518040002760245
FAISS,3,9,1.526243000625982
ChromaDB,3,9,1.258325999515364
FAISS,4,0,1.525191000837367
ChromaDB,4,0,1.2831820004066685
FAISS,4,1,1.5465310007130029
ChromaDB,4,1,1.2902960006613284
FAISS,4,2,1.5958730000420474
ChromaDB,4,2,1.9663909988594241
FAISS,4,3,1.6312580009980593
ChromaDB,4,3,1.9060089998674812
FAISS,4,4,1.4987829999881797
ChromaDB,4,4,1.3157530011085328
FAISS,4,5,1.4982009997766
ChromaDB,4,5,1.3002340001548873
FAISS,4,6,1.5076689996931236
ChromaDB,4,6,1.3311109996720916
FAISS,4,7,1.5195710002444685
ChromaDB,4,7,1.3651140016008867
FAISS,4,8,1.5426840000145603
ChromaDB,4,8,1.3315220003278228
FAISS,4,9,1.5236990002449602
ChromaDB,4,9,1.3211530003900407
FAISS,5,0,1.5167260007729055
ChromaDB,5,0,1.2666410002566408
FAISS,5,1,1.5151130010053748
ChromaDB,5,1,1.618645001144614
FAISS,5,2,1.5218660009850282
ChromaDB,5,2,1.5261130010912893
FAISS,5,3,1.6619550005998462
ChromaDB,5,3,1.4410650001082104
FAISS,5,4,1.638511999772163
ChromaDB,5,4,1.4321190010377904
FAISS,5,5,1.4989130013418617
ChromaDB,5,5,1.1813330002041766
FAISS,5,6,1.64340099945548
ChromaDB,5,6,1.6859200004546437
FAISS,5,7,1.5531539993389742
ChromaDB,5,7,1.1743899995053653
FAISS,5,8,1.4910279987816466
ChromaDB,5,8,1.1559759986994322
FAISS,5,9,1.5061270005389815
ChromaDB,5,9,1.1374820005585207
FAISS,6,0,1.5214450013445457
ChromaDB,6,0,1.1802810004155617
FAISS,6,1,1.5036820004752371
ChromaDB,6,1,1.156686999820522
FAISS,6,2,1.5294999993784586
ChromaDB,6,2,1.1492339999676915
FAISS,6,3,1.5384459984488785
ChromaDB,6,3,1.222118999066879
FAISS,6,4,1.6434310000477126
ChromaDB,6,4,1.2449309997464297
FAISS,6,5,1.6816320003272267
ChromaDB,6,5,1.3309909991221502
FAISS,6,6,1.7056970009434735
ChromaDB,6,6,1.3280759994813707
FAISS,6,7,1.6041580001910916
ChromaDB,6,7,1.2577249999594642
FAISS,6,8,1.611532001334126
ChromaDB,6,8,1.159162000476499
FAISS,6,9,1.5796930001670262
ChromaDB,6,9,1.1396760000934592
FAISS,7,0,1.5689430001657456
ChromaDB,7,0,1.1850800001411699
FAISS,7,1,1.5723500000603963
ChromaDB,7,1,1.3689110000996152
FAISS,7,2,1.607213998795487
ChromaDB,7,2,1.4167899989843136
FAISS,7,3,1.7803649989218684
ChromaDB,7,3,1.3526109996746527
FAISS,7,4,1.5000849998614285
ChromaDB,7,4,1.083801998902345
FAISS,7,5,1.4636469986726297
ChromaDB,7,5,1.0992409988830332
FAISS,7,6,1.5208929999062093
ChromaDB,7,6,1.1836180001409957
FAISS,7,7,1.5720080009486992
ChromaDB,7,7,1.22133699915139
FAISS,7,8,1.575946000230033
ChromaDB,7,8,1.184238000860205
FAISS,7,9,1.57130700063135
ChromaDB,7,9,1.2010199989163084
FAISS,8,0,1.4949659998819698
ChromaDB,8,0,1.1483620000944939
FAISS,8,1,1.5525620001426432
ChromaDB,8,1,1.1198090014659101
FAISS,8,2,1.5568909984722268
ChromaDB,8,2,1.1081169996032258
FAISS,8,3,1.542543999676127
ChromaDB,8,3,1.094633000320755
FAISS,8,4,1.516935999461566
ChromaDB,8,4,1.09007399987604
FAISS,8,5,1.5088809996086638
ChromaDB,8,5,1.1130160000902833
FAISS,8,6,1.5425140009028837
ChromaDB,8,6,1.0900439992838074
FAISS,8,7,1.5164560008997796
ChromaDB,8,7,1.1247479997109622
FAISS,8,8,1.548876000015298
ChromaDB,8,8,1.1863829986396013
FAISS,8,9,1.5570199993817369
ChromaDB,8,9,1.0934199999610428
FAISS,9,0,1.5666090002923738
ChromaDB,9,0,1.4208579996193293
FAISS,9,1,1.5832890003366629
ChromaDB,9,1,1.4745270000275923
FAISS,9,2,1.547042000311194
ChromaDB,9,2,1.3765359999524662
FAISS,9,3,1.6222009999182774
ChromaDB,9,3,1.4424580003833398
FAISS,9,4,1.4630360001319787
ChromaDB,9,4,1.2224799993418856
FAISS,9,5,1.6130349995364668
ChromaDB,9,5,1.292159000513493
FAISS,9,6,1.5118769988475833
ChromaDB,9,6,1.2464440005715005
FAISS,9,7,1.4993029999459395
ChromaDB,9,7,1.2253849999979138
FAISS,9,8,1.5130689989746315
ChromaDB,9,8,1.224863999595982
FAISS,9,9,1.5216350002447143
ChromaDB,9,9,1.2350029992376221
FAISS,10,0,1.5806440005690092
ChromaDB,10,0,1.3217229989095358
FAISS,10,1,1.6671949997544289
ChromaDB,10,1,1.2818700015486684
FAISS,10,2,1.5805639995960519
ChromaDB,10,2,1.2431880004442064
FAISS,10,3,1.6088770007627318
ChromaDB,10,3,1.2720019985863473
FAISS,10,4,1.5788210002938285
ChromaDB,10,4,1.1664649991871556
FAISS,10,5,1.568130999658024
ChromaDB,10,5,1.131861999965622
FAISS,10,6,1.5466620006918674
ChromaDB,10,6,1.1883659990417073
FAISS,10,7,1.550648999909754
ChromaDB,10,7,1.19693200031179
FAISS,10,8,1.5473829989787191
ChromaDB,10,8,1.2044360009895172
