query_id,query,query_answer,rank,engine,document_id,dataset_index,source,score,score_type,document_preview
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,1,FAISS,doc-07297,2107,iapp_wiki_qa_squad,0.6396209597587585,similarity,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2,FAISS,doc-07296,2106,iapp_wiki_qa_squad,0.6396209597587585,similarity,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,3,FAISS,doc-07295,2105,iapp_wiki_qa_squad,0.6396209597587585,similarity,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,4,FAISS,doc-07294,2104,iapp_wiki_qa_squad,0.6396209597587585,similarity,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,5,FAISS,doc-07293,2103,iapp_wiki_qa_squad,0.6396209597587585,similarity,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,1,ChromaDB,doc-07294,2104,iapp_wiki_qa_squad,0.36037880182266235,distance,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2,ChromaDB,doc-07296,2106,iapp_wiki_qa_squad,0.36037880182266235,distance,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,3,ChromaDB,doc-07297,2107,iapp_wiki_qa_squad,0.36037880182266235,distance,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,4,ChromaDB,doc-07299,2109,iapp_wiki_qa_squad,0.36037880182266235,distance,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-000,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,5,ChromaDB,doc-07300,2110,iapp_wiki_qa_squad,0.36037880182266235,distance,"โอเอซิส (อังกฤษ: Oasis) เป็นวงดนตรีร็อคจาก แมนเชสเตอร์ ในปี 1991 ซึ่งสมาชิกบางส่วนมาจากวง The Rain มีสมาชิกดั้งเดิมอันได้แก่ เลียม แกลลาเกอร์ (ร้องนำ), พอล ""โบน"
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,1,FAISS,doc-01640,450,thaiqa_squad,0.5819448232650757,similarity,รักประกาศิต รักประกาศิต เป็นนวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 เคยถูกสร้างเป็นภาพยนตร์ในปี 2523 ได้รับการเสนอชื่อเข้าชิงร
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,2,FAISS,doc-01639,449,thaiqa_squad,0.5819448232650757,similarity,รักประกาศิต รักประกาศิต เป็นนวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 เคยถูกสร้างเป็นภาพยนตร์ในปี 2523 ได้รับการเสนอชื่อเข้าชิงร
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,3,FAISS,doc-02162,972,thaiqa_squad,0.5150880813598633,similarity,สามก๊ก ฉบับคนเดินดิน สามก๊ก ฉบับคนเดินดิน เป็นผลงานของ สุขสันต์ วิเวกเมธากร โดยใช้นามปากกาว่า เล่า ชวน หัว จัดพิมพ์โดยสำนักพิมพ์เคล็ดไทยเล่มแรกที่จัดทำคือ เปิดห
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,4,FAISS,doc-02161,971,thaiqa_squad,0.5150880813598633,similarity,สามก๊ก ฉบับคนเดินดิน สามก๊ก ฉบับคนเดินดิน เป็นผลงานของ สุขสันต์ วิเวกเมธากร โดยใช้นามปากกาว่า เล่า ชวน หัว จัดพิมพ์โดยสำนักพิมพ์เคล็ดไทยเล่มแรกที่จัดทำคือ เปิดห
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,5,FAISS,doc-04642,3452,thaiqa_squad,0.4892149567604065,similarity,กนกวลี พจนปกรณ์ กนกวลี พจนปกรณ์ เป็นนักเขียนนวนิยายชาวไทย เกิดที่อำเภอเวียงสา จังหวัดน่าน เป็นธิดาของ นายพจน์ และนางยวงแก้ว พจนปกรณ์ เนื่องด้วยบิดาเป็นนักอ่าน ท
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,1,ChromaDB,doc-01639,449,thaiqa_squad,0.41805505752563477,distance,รักประกาศิต รักประกาศิต เป็นนวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 เคยถูกสร้างเป็นภาพยนตร์ในปี 2523 ได้รับการเสนอชื่อเข้าชิงร
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,2,ChromaDB,doc-01640,450,thaiqa_squad,0.41805505752563477,distance,รักประกาศิต รักประกาศิต เป็นนวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 เคยถูกสร้างเป็นภาพยนตร์ในปี 2523 ได้รับการเสนอชื่อเข้าชิงร
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,3,ChromaDB,doc-02161,971,thaiqa_squad,0.48491203784942627,distance,สามก๊ก ฉบับคนเดินดิน สามก๊ก ฉบับคนเดินดิน เป็นผลงานของ สุขสันต์ วิเวกเมธากร โดยใช้นามปากกาว่า เล่า ชวน หัว จัดพิมพ์โดยสำนักพิมพ์เคล็ดไทยเล่มแรกที่จัดทำคือ เปิดห
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,4,ChromaDB,doc-02162,972,thaiqa_squad,0.48491203784942627,distance,สามก๊ก ฉบับคนเดินดิน สามก๊ก ฉบับคนเดินดิน เป็นผลงานของ สุขสันต์ วิเวกเมธากร โดยใช้นามปากกาว่า เล่า ชวน หัว จัดพิมพ์โดยสำนักพิมพ์เคล็ดไทยเล่มแรกที่จัดทำคือ เปิดห
query-001,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,5,ChromaDB,doc-04642,3452,thaiqa_squad,0.5107851028442383,distance,กนกวลี พจนปกรณ์ กนกวลี พจนปกรณ์ เป็นนักเขียนนวนิยายชาวไทย เกิดที่อำเภอเวียงสา จังหวัดน่าน เป็นธิดาของ นายพจน์ และนางยวงแก้ว พจนปกรณ์ เนื่องด้วยบิดาเป็นนักอ่าน ท
query-002,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,1,FAISS,doc-03481,2291,thaiqa_squad,0.7589510083198547,similarity,ประเทศมาเลเซีย มาเลเซีย (มาเลเซีย: ) เป็นประเทศสหพันธรัฐราชาธิปไตยภายใต้รัฐธรรมนูญ ตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้ ประกอบด้วยรัฐ 13 รัฐ และดินแดนสหพันธ์
query-002,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,2,FAISS,doc-03480,2290,thaiqa_squad,0.7589510083198547,similarity,ประเทศมาเลเซีย มาเลเซีย (มาเลเซีย: ) เป็นประเทศสหพันธรัฐราชาธิปไตยภายใต้รัฐธรรมนูญ ตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้ ประกอบด้วยรัฐ 13 รัฐ และดินแดนสหพันธ์
query-002,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,3,FAISS,doc-03477,2287,thaiqa_squad,0.6010898351669312,similarity,สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ () หรือ อาเซียน (ASEAN) เป็นองค์การทางภูมิรัฐศาสตร์และเศรษฐกิจในเอเชียตะวันออก
query-002,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,4,FAISS,doc-03476,2286,thaiqa_squad,0.6010898351669312,similarity,สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ () หรือ อาเซียน (ASEAN) เป็นองค์การทางภูมิรัฐศาสตร์และเศรษฐกิจในเอเชียตะวันออก
