post_id,post_date,engagement_score,user_comment
post_1000,2026-06-07,207.0,!!! ระวังกันด้วยนะทุกคน ช่วงนี้แก๊งคอลเซ็นเตอร์ระบาดหนักมาก!! ⚠️❌ !!! ---
post_1001,2026-06-04,-150.0,ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ??? 🤯💥 http://twitter.com/hashtag/drama
post_1002,"Jun 13, 2026",267.0,จัดส่งเร็วมากกกก ของแพ็คมาดีเว่อร์ สิบดาวไปเลยครับ ⭐⭐⭐⭐⭐
post_1003,"Jun 15, 2026",188.0,หนังเรื่องนี้ดีมากกกกก! 🎬🌟 แนะนำให้ไปดูเลยครับ รีวิวเต็มๆ ที่ https://moviereview.com/hit-movie
post_1004,unknown_time,261.0,!!! โปรโมชั่นลดราคาพิเศษเฉพาะวันนี้เท่านั้น! 🛒🛍️ คลิกเลย 👉 https://shop.sale/discount !!! ---
post_1005,2026-06-08,247.0,<div><p>รสชาติเฉยๆ   &nbsp;  อะ   &nbsp;  ไม่ได้แย่แต่ก็ไม่ได้ว้าว   &nbsp;  ขนาดนั้น   &nbsp;  🤔</p></div>
post_1006,2026-06-13,340.0,ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ??? 🤯💥 http://twitter.com/hashtag/drama
post_1007,"Jun 05, 2026",,<div><p>รสชาติเฉยๆ อะ ไม่ได้แย่แต่ก็ไม่ได้ว้าว ขนาดนั้น 🤔</p></div>
post_1008,2026-06-07,15500.0,!!! <div>บอกเลยว่าผิดหวังอย่างแรง 👎 บริการแย่มาก <br> ไม่ไปซ้ำแน่นอน!! #เซ็ง !!! ---
post_1009,"Jun 10, 2026",403.0,โปรโมชั่นลดราคาพิเศษเฉพาะวันนี้เท่านั้น! 🛒🛍️ คลิกเลย 👉 https://shop.sale/discount
post_1010,2026-06-03,87.0,<div><p>รสชาติเฉยๆ   &nbsp;  อะ   &nbsp;  ไม่ได้แย่แต่ก็ไม่ได้ว้าว   &nbsp;  ขนาดนั้น   &nbsp;  🤔</p></div>
post_1011,07/06/2026,,สมัครสมาชิกวันนี้รับฟรีโบนัส 100%!! 🤑💰 ลิงก์ใต้คอมเมนต์เลยจ้า
post_1012,2026-06-11,312.0,!!! อร่อยมากกกกกก!! ร้านนี้ต้องซ้ำ 🍜🔥 พิเศษใส่ไข่ด้วยนะ @friend_group !!! ---
post_1013,2026-06-11,161.0,ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ??? 🤯💥 http://twitter.com/hashtag/drama
post_1014,08/06/2026,340.0,<span>งานคอนเสิร์ตสนุกมากกกกก โคตรคุ้มค่าบัตร!! 🎉🎤🎵</span>
post_1015,2026-06-05,279.0,ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ???   &nbsp;  🤯💥   &nbsp;  http://twitter.com/hashtag/drama
post_1016,null,219.0,!!! <div><p>รสชาติเฉยๆ อะ ไม่ได้แย่แต่ก็ไม่ได้ว้าว ขนาดนั้น 🤔</p></div> !!! ---
post_1017,08/06/2026,157.0,<div><p>รสชาติเฉยๆ อะ ไม่ได้แย่แต่ก็ไม่ได้ว้าว ขนาดนั้น 🤔</p></div>
post_1018,08/06/2026,295.0,หนังเรื่องนี้ดีมากกกกก! 🎬🌟 แนะนำให้ไปดูเลยครับ รีวิวเต็มๆ ที่ https://moviereview.com/hit-movie
