instruction_org,instruction,answer,__index_level_0__,BM25_score,BM25_index,DENSE_score,DENSE_index,RRF_score,RRF_index,BM25_original_index,BM25_doc,BM25_answer,DENSE_original_index,DENSE_doc,DENSE_answer,RRF_original_index,RRF_doc,RRF_answer
สตูดิโออัลบั้มแรกของโอเอซิสคืออัลบั้มใด,โอเอซิสเริ่มต้นในปีอะไร?,Definitely Maybe,2106,12.890774621112705,14605,0.8591909408569336,7293,0.031024531024531024,7300,3654,พนมเทียนเริ่มต้นการเขียนเพชรพระอุมาในปีพ.ศ.อะไร?,2507,2103,โอเอซิสเป็นวงดนตรีที่มีต้นกำเนิดมาจากเมืองใด,แมนเชสเตอร์,2110,ในปี 1999 ใครบ้างที่ลาออกจากโอเอซิส,แม็คเกวียน และ อาร์เธอร์
นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,"นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่า ""ภูเขาสุดที่มา""",รักประกาศิต,449,88.17809353176388,1639,0.9391316175460815,1639,0.03252247488101534,1639,449,นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,รักประกาศิต,449,นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,รักประกาศิต,449,นวนิยายเรื่องแรกในนามของ ก. สุรางคนางค์ ตีพิมพ์ครั้งแรกประมาณปี พ.ศ. 2509 มีชื่อว่าอะไร,รักประกาศิต
ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,3284,26.308126225079736,3481,0.8861870169639587,3481,0.03252247488101534,3481,2291,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,เอเชียตะวันออกเฉียงใต้,2291,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,เอเชียตะวันออกเฉียงใต้,2291,ประเทศมาเลเซียตั้งอยู่ในภูมิภาคใด,เอเชียตะวันออกเฉียงใต้
ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภาษาซองคาเป็นภาษาประจำชาติของประเทศอะไร?,ภูฏาน,1309,37.377888555468026,2965,0.9130370020866394,2965,0.03278688524590164,2965,1775,ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภูฏาน,1775,ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภูฏาน,1775,ภาษาซองคาเป็นภาษาประจำชาติของประเทศใด,ภูฏาน
ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,"ใครคือผู้แต่งเรื่อง ""ลิลิตพระลอ""",สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์,3677,27.480812078571564,14628,0.9239597320556641,14628,0.03278688524590164,14628,3677,ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์,3677,ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์,3677,ใครเป็นผู้ประพันธ์เรื่องลิลิตพระลอ?,สมเด็จพระมหาสมณเจ้า กรมพระปรมานุชิตชิโนรส และพระเจ้าบรมวงศ์เธอ กรมหมื่นภูบาลบริรักษ์
44 21 4 เกม ผลิตโดยใคร,44 21 4 คือจำนวนเกมที่ผลิตโดยใคร?,บริษัท ซีวีดีอี โปรดักชั่น จำกัด,3954,52.22576265327699,9144,0.8979751467704773,9144,0.03278688524590164,9144,3954,44 21 4 เกม ผลิตโดยใคร,บริษัท ซีวีดีอี โปรดักชั่น จำกัด,3954,44 21 4 เกม ผลิตโดยใคร,บริษัท ซีวีดีอี โปรดักชั่น จำกัด,3954,44 21 4 เกม ผลิตโดยใคร,บริษัท ซีวีดีอี โปรดักชั่น จำกัด
102 ปิดกรุงเทพฯปล้น เป็นภาพยนตร์แนวอะไร,"102: ภูมิภาค กรุ๊ป ภาระ, สืบสวน, และ ผูกพัน.",แอ็คชั่น,1527,50.54226007443311,40988,0.8624287843704224,37509,0.020001515266308053,37047,9248,"Concerto for Flute, Harp, and Orchestra in C major, K. 299",,5769,ความรับผิดชอบของผู้พิพากษาภาคทัณฑ์มีอะไรบ้าง,,5307,Gangs of Wasseypur  และ Gangs of New York,
The State Representative ของ  New York คือใคร,ใครคือนายวุฒิสมาชิกของนิวยอร์ก?,อเล็กซานเดรีย โอคาซีโอ-คอร์เทซ,4001,16.716486358095324,31980,0.838320255279541,35998,0.03131881575727918,31980,240,ใครคือวุฒิสมาชิกจากรัฐแคลิฟอร์เนีย,ดิแอน เฟนชไตน์,4258,ใครคือเลขานุการประจำรัฐนิวยอร์ค,รอสซานา โรซาโด,240,ใครคือวุฒิสมาชิกจากรัฐแคลิฟอร์เนีย,ดิแอน เฟนชไตน์
ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,ตำบลนาวง ตั้งอยู่ในจังหวัดไหน?,จังหวัดตรัง,507,30.07965432921959,5697,0.9111080169677734,5697,0.03278688524590164,5697,507,ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,จังหวัดตรัง,507,ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,จังหวัดตรัง,507,ตำบลนาวง ตั้งอยู่ที่จังหวัดใด,จังหวัดตรัง
ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,ไนจีเรียถูกแต่งตั้งให้เป็นสมาชิกของสหประชาชาติในปี พ.ศ. 2514.,1960-10-07,6958,32.192030026103815,38698,0.887885570526123,38698,0.03278688524590164,38698,6958,ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,1960-10-07,6958,ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,1960-10-07,6958,ไนจีเรียเป็นสมาชิกของสหประชาชาติเมื่อใด,1960-10-07
เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่เก็บ养分และต้านทานโรคภัยจากฝูงสัตว์ที่อาจทำลายพืช,สะสมอาหาร,12911,62.89326023432762,27651,0.9257084131240845,27651,0.03278688524590164,27651,12911,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,สะสมอาหาร,12911,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,สะสมอาหาร,12911,เหง้าใต้ดินของกระชายจะเป็นส่วนของพืชที่ทำหน้าที่อะไร,สะสมอาหาร
ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,"ภาพยนตร์เรื่อง ""องค์บาก"" 2 ออกอากาศในประเทศไทยตามกำหนด วันที่ 5 ธันวาคม พ.ศ. 2551 สร้างรายได้รวมเท่าไหร่?",102.29 ล้านบาท,892,86.26675533583038,2082,0.9401317834854126,2082,0.03278688524590164,2082,892,ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,102.29 ล้านบาท,892,ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,102.29 ล้านบาท,892,ภาพยนตร์เรื่ององค์บาก 2 ออกฉายอย่างเป็นทางการในประเทศไทย วันที่ 5 ธันวาคม พ.ศ. 2551 ทำรายได้รวมเท่าไร,102.29 ล้านบาท
อุทยานแห่งชาติแก่งกรุงของไทยตั้งอยู่ในจังหวัดใด,อุทยานแห่งชาติแก่งกรุงของประเทศไทยตั้งอยู่ในจังหวัดอ่างทอง,สุราษฎร์ธานี,762,37.059170777073,1952,0.8878160715103149,1950,0.032266458495966696,15337,762,อุทยานแห่งชาติแก่งกรุงของไทยตั้งอยู่ในจังหวัดใด,สุราษฎร์ธานี,760,อุทยานแห่งชาติแก่งกรุง ตั้งอยู่ในพื้นที่จังหวัดอะไร,จังหวัดสุราษฎร์ธานี,597,อุทยานแห่งชาติแก่งกรุง ตั้งอยู่ในพื้นที่จังหวัดอะไร,จังหวัดสุราษฎร์ธานี
ปัจจุบันตั้งแสดงอยู่ที่ใด ?,ฉันยังไม่สามารถแสดงสถานะหรือตำแหน่งของคุณได้ในขณะนี้。,พิพิธภัณฑ์ออร์แซในกรุงปารีสในประเทศฝรั่งเศส,950,23.49178757848602,32524,0.8731768131256104,32524,0.03278688524590164,32524,784,พร้อมหรือไม่ ฉันมาแล้ว คุณไม่สามารถซ่อนได้หรอก,,784,พร้อมหรือไม่ ฉันมาแล้ว คุณไม่สามารถซ่อนได้หรอก,,784,พร้อมหรือไม่ ฉันมาแล้ว คุณไม่สามารถซ่อนได้หรอก,
ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,ภาพยนต์เรื่องแรกของโลกคือเรื่องอะไร?,Arrival of a Train at La Ciotat,3377,36.43327557994126,14328,0.9257084131240845,14328,0.03278688524590164,14328,3377,ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,Arrival of a Train at La Ciotat,3377,ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,Arrival of a Train at La Ciotat,3377,ภาพยนต์เรื่องแรกของโลกคือเรื่องใด ?,Arrival of a Train at La Ciotat
